Plugin,Menu,Section,Type,English,Japanese
"Pawprint","","","","回避率+5%
特殊效果：成功回避攻击时，为自身附加1档“激昂”状态
激昂效果：造成伤害+15%、受到伤害-8%
激昂持续时间：60秒
最大档数：4档
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 死尸纲","回避率+5%
特殊効果：攻撃回避成功時、自身に「興奮」状態を1段階追加する。
エキサイティング効果：与ダメージ+15%、被ダメージ-8%
情熱の持続時間: 60秒
最大ギア数: 4 ギア
以下のモンスターに適しています。
百科事典、センテノラ綱、翼虫綱、草本綱、アクアティカ綱、壊虫綱"
"Pawprint","","","","回避率+8%
移动速度+50%
特殊效果：自身使用技能及奇弈道具的体力恢复效果提高15%","回避率+8%
移動速度 +50%
特殊効果：自身が使用するスキルとQiyi小道具の体力回復効果が15%増加する。"
"Pawprint","","","","图鉴诊断已导出：C:\Users\anoth\AppData\Roaming\XIVLauncher\pluginConfigs\Pawprint\diagnostics\xbm-notebook-20260920-133725-777.json","イラスト診断がエクスポートされました: C:\Users\anoth\AppData\Roaming\XIVLauncher\pluginConfigs\Pawprint\diagnostics\xbm-notebook-20260920-133725-777.json"
"Pawprint","","","","图鉴诊断已导出：C:\Users\anoth\AppData\Roaming\XIVLauncher\pluginConfigs\Pawprint\diagnostics\xbm-notebook-20260920-133727-608.json","イラスト診断がエクスポートされました: C:\Users\anoth\AppData\Roaming\XIVLauncher\pluginConfigs\Pawprint\diagnostics\xbm-notebook-20260920-133727-608.json"
"Pawprint","","","","复制为新预设","新しいプリセットとしてコピー"
"Pawprint","","","","多人本 · 不支持","マルチプレイヤー · サポートされていません"
"Pawprint","","","","失明耐性+100%
受到伤害-10%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 咒具纲 死尸纲","失明耐性+100%
受けるダメージ -10%
以下のモンスターに適しています。
クラスエンサイクロペディア、クラスセンテノーラ、クラス翼虫類、クラス草本科、クラスアクアティカ、クラスオ爪虫、クラスカース、クラスネクロゾア"
"Pawprint","","","","宝箱",""
"Pawprint","","","","对目标及其周围12米以内的敌人发动冰属性远程范围魔法攻击
威力：2000
追加效果：冻结
冻结持续时间：20秒
该道具的伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
该道具仅可在战斗地图中使用","ターゲットとその周囲12メートル以内の敵に氷ベースの遠距離魔法攻撃を開始します。
パワー: 2000
追加効果：フリーズ
フリーズ持続時間: 20秒
このアイテムのダメージは他の闘獣装備やアイテム、アビリティスキルの魔法ダメージ増加の影響を受ける。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","对目标及其周围12米以内的敌人发动土属性远程范围魔法攻击
威力：2000
追加效果：加重
加重持续时间：60秒
该道具的伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
该道具仅可在战斗地图中使用","対象とその周囲12m以内の敵に土属性の遠距離魔法攻撃を行う。
パワー: 2000
追加効果：悪化
悪化持続時間: 60秒
このアイテムのダメージは他の闘獣装備やアイテム、アビリティスキルの魔法ダメージ増加の影響を受ける。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","对目标及其周围12米以内的敌人发动水属性远程范围魔法攻击
威力：2000
追加效果：打消目标身上的一种强化状态
成功打消状态时增加100点技力
该道具的伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
该道具仅可在战斗地图中使用","ターゲットとその周囲12メートル以内の敵に水系の遠距離魔法攻撃を放つ。
パワー: 2000
追加効果：対象の強化状態を解除
ステータス解除に成功するとスキルポイントが100加算されます。
このアイテムのダメージは他の闘獣装備やアイテム、アビリティスキルの魔法ダメージ増加の影響を受ける。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","对目标及其周围12米以内的敌人发动火属性远程范围魔法攻击
威力：2500
追加效果：目标处于冻结状态时造成额外伤害
威力：1000
该道具的伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
该道具仅可在战斗地图中使用","対象とその周囲12m以内の敵に火属性の遠距離魔法攻撃を行う。
パワー: 2500
追加効果：対象が凍結している場合に追加ダメージを与える
パワー: 1000
このアイテムのダメージは他の闘獣装備やアイテム、アビリティスキルの魔法ダメージ増加の影響を受ける。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","对目标及其周围12米以内的敌人发动雷属性远程范围魔法攻击
威力：2000
追加效果：麻痹
麻痹持续时间：30秒
该道具的伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
该道具仅可在战斗地图中使用","対象とその周囲12m以内の敵に雷属性の遠距離魔法攻撃を与える。
パワー: 2000
追加効果：麻痺
麻痺持続時間：30秒
このアイテムのダメージは他の闘獣装備やアイテム、アビリティスキルの魔法ダメージ増加の影響を受ける。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","对目标及其周围12米以内的敌人发动风属性远程范围魔法攻击
威力：1500～3300
自身的最大体力越多威力越大
该道具仅可在战斗地图中使用","対象とその周囲12m以内の敵に風属性の遠距離魔法攻撃を行う。
パワー：1500～3300
最大体力が大きいほど、パワーも大きくなります。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","对目标及其周围12米以内的敌人发动风属性远程范围魔法攻击
威力：2000
追加效果：将目标击退15米
该道具的伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
该道具仅可在战斗地图中使用","対象とその周囲12m以内の敵に風属性の遠距離魔法攻撃を行う。
パワー: 2000
追加効果：ターゲットを15メートル後方に吹き飛ばす
このアイテムのダメージは他の闘獣装備やアイテム、アビリティスキルの魔法ダメージ増加の影響を受ける。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","导入为新预设","新しいプリセットとしてインポート"
"Pawprint","","","","导出图鉴诊断","エクスポート図診断"
"Pawprint","","","","导出并复制","エクスポートとコピー"
"Pawprint","","","","导出捕获诊断","キャプチャ診断のエクスポート"
"Pawprint","","","","封锁坑道铜铃铜山","封鎖トンネル銅陵通山"
"Pawprint","","","","将自身及周围队员的中毒耐性提高100%
持续时间：300秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用","自分と周囲のチームメンバーの毒耐性100%アップ
持続時間: 300秒
追加効果：真紅のリボンを保持している間、対象の最大体力の50％を回復する。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","将自身及周围队员的失明耐性提高100%
持续时间：300秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用","自分と周囲のチームメイトの失明耐性100%アップ
持続時間: 300秒
追加効果：真紅のリボンを保持している間、対象の最大体力の50％を回復する。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","将自身及周围队员的睡眠耐性提高100%
持续时间：300秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用","自分と周囲のチームメイトの睡眠耐性100%アップ
持続時間: 300秒
追加効果：真紅のリボンを保持している間、対象の最大体力の50％を回復する。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","将自身及周围队员的石化耐性提高100%
持续时间：300秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用","自分と周囲の仲間の石化耐性100%アップ
持続時間: 300秒
追加効果：真紅のリボンを保持している間、対象の最大体力の50％を回復する。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","将自身及周围队员的麻痹耐性提高100%
持续时间：300秒
追加效果：持有深红缎带时，恢复目标最大体力的50%
该道具仅可在战斗地图中使用","自分と周囲の仲間の麻痺耐性100%アップ
持続時間: 300秒
追加効果：真紅のリボンを保持している間、対象の最大体力の50％を回復する。
この小道具は戦闘マップでのみ使用できます"
"Pawprint","","","","尚未记录斗兽流程","獣と戦う過程はまだ記録されていない"
"Pawprint","","","","就绪",""
"Pawprint","","","","已安装但未加载；请在插件安装器中启用","インストールされていますがロードされていません。プラグインインストーラーで有効にしてください"
"Pawprint","","","","已捕获 0 / 未捕获 0 / 未知 50","捕獲 0 / 未捕獲 0 / 不明 50"
"Pawprint","","","","已解锁魔兽","ウォークラフトのロックが解除されました"
"Pawprint","","","","巴哈姆特大迷宫 入侵之章1","神撃のバハムート 大迷宮襲来 第一章"
"Pawprint","","","","库存目标（0 不限制）","在庫目標 (0 制限なし)"
"Pawprint","","","","开怪方式","モンスターの開き方"
"Pawprint","","","","怪物 ID 查询","モンスターIDクエリ"
"Pawprint","","","","恢复自身及周围队员10%的体力","自分と周囲のチームメンバーの体力を10%回復"
"Pawprint","","","","恢复自身及周围队员25%的体力","自分と周囲のチームメンバーの体力を25%回復"
"Pawprint","","","","恢复自身及周围队员40%的体力","自分と周囲のチームメンバーの体力を40％回復"
"Pawprint","","","","恢复默认",""
"Pawprint","","","","恢复默认预设","デフォルトのプリセットを復元する"
"Pawprint","","","","战利品掉落率+40%
回避率+2%","戦利品ドロップ率 +40%
回避率+2%"
"Pawprint","","","","战利品掉落率+70%
加速+2%","戦利品ドロップ率+70%
スピードアップ +2%"
"Pawprint","","","","战利品掉落率+80%
受到伤害-8%
最大体力+18%","戦利品ドロップ率 +80%
被ダメージ -8%
最大体力+18%"
"Pawprint","","","","战斗","ファインティング"
"Pawprint","","","","战斗内补血","戦闘中に血液を補給する"
"Pawprint","","","","战斗外补血","戦闘以外でも血液を補充する"
"Pawprint","","","","战斗插件","戦闘プラグイン"
"Pawprint","","","","战斗结束","戦いは終わった"
"Pawprint","","","","手动操作","手動操作"
"Pawprint","","","","打开 Omni Discord","オープンオムニ Discord"
"Pawprint","","","","打开图鉴","図鑑を開いて"
"Pawprint","","","","打开插件安装器","プラグインインストーラーを開く"
"Pawprint","","","","打开设置",""
"Pawprint","","","","技能效果及识破/捕获消息 ID 监听已就绪","スキル効果や検出・捕捉メッセージID監視も可能"
"Pawprint","","","","拉诺西亚低地","ラノシア低地"
"Pawprint","","","","拉诺西亚外地","ラノシアフィールド"
"Pawprint","","","","捕猎","ハント"
"Pawprint","","","","捕获选中","キャプチャの選択"
"Pawprint","","","","排名","ランキング"
"Pawprint","","","","插件状态","プラグインのステータス"
"Pawprint","","","","插件配置","プラグインの設定"
"Pawprint","","","","摩杜纳","モドゥナ"
"Pawprint","","","","收录","含まれています"
"Pawprint","","","","效果","効果"
"Pawprint","","","","斗兽奇弈","猛獣格闘ゲーム"
"Pawprint","","","","斗兽奇弈需要 Omni Verification","Beast Fighter にはオムニ認証が必要です"
"Pawprint","","","","斗兽币获得量+25%
受到物理伤害-10%","闘獣コイン獲得量+25%
受ける物理ダメージ -10%"
"Pawprint","","","","斗兽币获得量+25%
回避率+4%
最大体力+12%","闘獣コイン獲得量+25%
回避率+4%
最大体力+12%"
"Pawprint","","","","斗兽币获得量+25%
暴击发动率-10%
造成伤害+5%","闘獣コイン獲得量+25%
クリティカル率-10%
与ダメージ+5%"
"Pawprint","","","","显示已保存的图鉴记录","保存した絵本の記録を表示する"
"Pawprint","","","","暂停",""
"Pawprint","","","","暂停##arena",""
"Pawprint","","","","暴击发动率+15%
失明耐性+100%","クリティカル率+15%
失明耐性+100%"
"Pawprint","","","","暴击发动率+15%
最大体力+2%","クリティカル率+15%
最大体力+2%"
"Pawprint","","","","暴击发动率+25%
以太爆发威力+20%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲","クリティカル率+25%
エーテルバースト威力+20%
以下のモンスターに適しています。
クラス百科事典、クラス百科事典、翼虫類クラス、ハーブ類クラス、水生クラス、爪真菌類クラス、壊死動物クラス"
"Pawprint","","","","暴击发动率+25%
特殊效果：暴击时为自身附加1档“伤害提高”状态
伤害提高效果：造成伤害提高10%
伤害提高持续时间：60秒
最大档数：5档
适于以下魔兽食用：
咒具纲","クリティカル率+25%
特殊効果：クリティカル発生時、自身に「ダメージ増加」状態を1段階追加する。
ダメージ増加効果：ダメージ10%増加
ダメージ増加時間：60秒
最大ギア数: 5 ギア
以下のモンスターに適しています。
マントラの概要"
"Pawprint","","","","暴击发动率+35%
受到魔法伤害-30%
最大体力+10%
特殊效果：将此食料喂给魔兽后，可以恢复7%的体力
适于以下魔兽食用：
咒具纲","クリティカル率+35%
受ける魔法ダメージ -30%
最大体力+10%
特殊効果：この餌をモンスターに与えると体力が7％回復する
以下のモンスターに適しています。
マントラの概要"
"Pawprint","","","","暴击发动率+35%
造成物理伤害+15%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲","クリティカル率+35%
物理ダメージ+15%
以下のモンスターに適しています。
クラス百科事典、クラス百科事典、翼虫類クラス、ハーブ類クラス、水生クラス、爪真菌類クラス、壊死動物クラス"
"Pawprint","","","","暴击发动率+50%
造成伤害+35%
特殊效果：每隔一段时间受到伤害
适于以下魔兽食用：
百虫纲","クリティカル率+50%
与えるダメージ +35%
特殊効果：時々ダメージを受ける
以下のモンスターに適しています。
クリソポディア"
"Pawprint","","","","暴击发动率+8%
特殊效果：暴击时有25%的几率为自身附加1档“伤害提高”状态
伤害提高效果：造成伤害提高3%
伤害提高持续时间：30秒
最大档数：8档","クリティカル率+8%
特殊効果：クリティカルヒット時、25%の確率で自身に「ダメージ増加」状態を1段階追加する。
ダメージ増加効果：ダメージ3%増加
ダメージ増加時間：30秒
最大ギア数: 8 ギア"
"Pawprint","","","","暴击攻击力+35
造成伤害+3%
最大体力+7%","クリティカル攻撃力+35
与ダメージ+3%
最大体力+7%"
"Pawprint","","","","暴击攻击力+60
以太爆发威力+10%
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 死尸纲","クリティカル攻撃力+60
エーテルバースト威力+10%
以下のモンスターに適しています。
クラス百科事典、クラス百科事典、翼虫類クラス、ハーブ類クラス、水生クラス、爪真菌類クラス、壊死動物クラス"
"Pawprint","","","","最大体力+10%
受到伤害-5%
死亡宣告耐性+100%","最大体力+10%
被ダメージ -5%
死亡予告耐性+100%"
"Pawprint","","","","最大体力+12%
特殊效果：自身发动战技触发兽心协作技时，有25%的几率恢复一部分消耗的技力","最大体力+12%
特殊効果：コンバットスキルを発動してビーストハート連携スキルを発動すると、25％の確率で消費したスキルの一部を回復する。"
"Pawprint","","","","最大体力+15%
造成伤害+5%
特殊效果：斗兽奇弈结束时，魔兽获得的经验值增加25%
特殊效果：将此食料喂给魔兽后，可以恢复10%的体力
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 咒具纲 死尸纲","最大体力+15%
与ダメージ+5%
特殊効果: ゲーム終了時、Warcraft が獲得できる経験値が 25% 増加します。
特殊効果：この餌をモンスターに与えると体力が10％回復する
以下のモンスターに適しています。
クラスエンサイクロペディア、クラスセンテノーラ、クラス翼虫類、クラス草本科、クラスアクアティカ、クラスオ爪虫、クラスカース、クラスネクロゾア"
"Pawprint","","","","最大体力+17%
回避率+8%
特殊效果：成功回避攻击时，为自身附加1档“加速”状态
加速效果：自动攻击间隔、战技与魔法的咏唱及复唱时间缩短2%
加速持续时间：60秒
最大档数：5档","最大体力+17%
回避率+8%
特殊効果：攻撃回避成功時、自身に「加速」状態を1段階追加する。
加速効果：自動攻撃間隔、戦闘スキル、魔法の詠唱・再詠唱時間が2%短縮
加速持続時間：60秒
最大ギア数: 5 ギア"
"Pawprint","","","","最大体力+20%",""
"Pawprint","","","","最大体力+20%
暴击发动率+15%
特殊效果：暴击时有5%的几率为自身附加1档“体力持续恢复”状态
体力持续恢复效果：每隔一段时间恢复自身最大体力的3%
体力持续恢复持续时间：6秒
最大档数：8档
特殊效果：将此食料喂给魔兽后，可以恢复13%的体力
适于以下魔兽食用：
水栖纲","最大体力+20%
クリティカル率+15%
特殊効果：クリティカルヒット時、5%の確率で自身に「スタミナ継続回復」レベルを付与。
継続体力回復効果：一定時間ごとに最大体力の3％回復
体力回復時間：6秒
最大ギア数: 8 ギア
特殊効果：この餌をモンスターに与えると体力が13％回復する
以下のモンスターに適しています。
アクアティカ"
"Pawprint","","","","最大体力+3%
特殊效果：技力累积量提高25%","最大体力+3%
特殊効果：スキル蓄積量25％増加"
"Pawprint","","","","最大体力+30%
加速+15%
特殊效果：魔兽发动战技触发兽心协作技时，有30%的几率恢复一部分消耗的技力
特殊效果：将此食料喂给魔兽后，可以恢复18%的体力
适于以下魔兽食用：
百虫纲","最大体力+30%
スピードアップ +15%
特殊効果：ウォークラフトがコンバットスキルを発動してビーストハート連携スキルを発動すると、30％の確率で消費したスキルの一部を回復する。
特殊効果：この餌をモンスターに与えると体力が18％回復する
以下のモンスターに適しています。
クリソポディア"
"Pawprint","","","","最大体力+30%
特殊效果：受到伤害时为自身附加1档“受到魔法伤害减轻”状态
受到魔法伤害减轻效果：受到的魔法伤害减轻5%
受到魔法伤害减轻持续时间：60秒
最大档数：8档
特殊效果：将此食料喂给魔兽后，可以恢复18%的体力
适于以下魔兽食用：
咒具纲","最大体力+30%
特殊効果：ダメージを受けた時、自身に「魔法ダメージ軽減」状態を1段階追加する。
魔法ダメージ軽減効果：受ける魔法ダメージ5％軽減
魔法ダメージ軽減時間：60秒
最大ギア数: 8 ギア
特殊効果：この餌をモンスターに与えると体力が18％回復する
以下のモンスターに適しています。
マントラの概要"
"Pawprint","","","","最大体力+30%
特殊效果：在帐篷休息时可以使体力完全恢复
特殊效果：将此食料喂给魔兽后，可以恢复18%的体力
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲","最大体力+30%
特殊効果：テント内で休憩すると体力が全回復する。
特殊効果：この餌をモンスターに与えると体力が18％回復する
以下のモンスターに適しています。
百科事典、センテノーラ綱、翼虫綱、草本綱、アクアティカ綱、爪真菌症綱"
"Pawprint","","","","最大体力+30%
造成伤害+10%
特殊效果：斗兽奇弈结束时，魔兽获得的经验值增加50%
特殊效果：将此食料喂给魔兽后，可以恢复18%的体力
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 咒具纲 死尸纲","最大体力+30%
ダメージ+10%
特殊効果: ゲーム終了時、Warcraft が獲得できる経験値が 50% 増加します。
特殊効果：この餌をモンスターに与えると体力が18％回復する
以下のモンスターに適しています。
クラスエンサイクロペディア、クラスセンテノーラ、クラス翼虫類、クラス草本科、クラスアクアティカ、クラスオ爪虫、クラスカース、クラスネクロゾア"
"Pawprint","","","","最大体力+30%
造成伤害+15%
特殊效果：对敌人造成致命一击时，为自身附加1档“体力持续恢复”状态
体力持续恢复效果：每隔一段时间恢复自身最大体力的3%
体力持续恢复持续时间：6秒
最大档数：8档
特殊效果：将此食料喂给魔兽后，可以恢复18%的体力
适于以下魔兽食用：
水栖纲","最大体力+30%
与えるダメージ +15%
特殊効果：敵に致命傷を与えた時、自身に「スタミナ継続回復」を1段階追加する。
継続体力回復効果：一定時間ごとに最大体力の3％回復
体力回復時間：6秒
最大ギア数: 8 ギア
特殊効果：この餌をモンスターに与えると体力が18％回復する
以下のモンスターに適しています。
アクアティカ"
"Pawprint","","","","最大体力+30%
造成伤害+18%
特殊效果：自身发动战技触发兽心协作技时，为自身附加“卓异”状态
卓异效果：除特定攻击之外其他所有攻击均无效化，且造成伤害提高10%
卓异持续时间：9秒","最大体力+30%
与えるダメージ +18%
特殊効果：戦闘スキルを発動してビーストハート連携スキルを発動するとステータス「優秀」が付与される。
優れた効果：特定の攻撃を除く全ての攻撃を無効化し、与えるダメージが10％増加する。
例外的な持続時間: 9 秒"
"Pawprint","","","","最大体力+5%
特殊效果：技力累积量提高5%
特殊效果：对敌人造成致命一击时，为自身附加1档“激昂”状态
激昂效果：造成伤害+10%、受到伤害-5%
激昂持续时间：180秒
最大档数：4档","最大体力+5%
特殊効果：スキル蓄積量5％増加
特殊効果：敵に致命傷を与えた時、自身に『興奮』状態を1付与する。
エキサイティング効果：与ダメージ+10%、被ダメージ-5%
情熱の持続時間: 180秒
最大ギア数: 4 ギア"
"Pawprint","","","","最大体力+50%
受到伤害-20%
特殊效果：受到伤害时有50%的几率为自身附加1档“加速”状态
加速效果：自动攻击间隔、战技与魔法的咏唱及复唱时间缩短3%
加速持续时间：60秒
最大档数：5档
特殊效果：将此食料喂给魔兽后，可以恢复26%的体力
适于以下魔兽食用：
草木纲","最大体力+50%
受けるダメージ -20%
特殊効果：ダメージを受けた時、50％の確率で自身に『加速』状態を1段階付与する。
加速効果：自動攻撃間隔、戦闘スキル、魔法詠唱・再詠唱時間3%短縮
加速持続時間：60秒
最大ギア数: 5 ギア
特殊効果：この餌をモンスターに与えると体力が26％回復する
以下のモンスターに適しています。
ハーブ科"
"Pawprint","","","","最大体力+6%
回避率+8%
睡眠耐性+100%",""
"Pawprint","","","","有効###启用",""
"Pawprint","","","","未知",""
"Pawprint","","","","未选中魔物","モンスターが選択されていません"
"Pawprint","","","","查图鉴名称","図鑑の名前を確認する"
"Pawprint","","","","查询","クエリ"
"Pawprint","","","","格挡性能+100%
受到物理伤害-5%
最大体力+2%","ブロッキング性能+100%
受ける物理ダメージ -5%
最大体力+2%"
"Pawprint","","","","格挡性能+125%
受到伤害-25%
最大体力+35%","ブロッキング性能 +125%
受けるダメージ -25%
最大体力+35%"
"Pawprint","","","","格挡性能+30%
回避率+10%","ブロッキング性能 +30%
回避率+10%"
"Pawprint","","","","格挡性能+50%
特殊效果：30%几率使水属性伤害无效并吸收
特殊效果：盾格挡时有10%的几率为自身附加“反射”状态
反射效果：反射除特定攻击之外的所有魔法攻击
持续时间：60秒","ブロッキング性能 +50%
特殊効果：30％の確率で水属性ダメージを無効化＆吸収
特殊効果：盾で防御した時、10%の確率で自身に「反射」状態を付与。
反射効果：特定の攻撃を除く全ての魔法攻撃を反射する
持続時間: 60秒"
"Pawprint","","","","格挡性能+50%
造成伤害+3%
特殊效果：30%几率使火属性伤害无效并吸收","ブロッキング性能 +50%
与ダメージ+3%
特殊効果：30%の確率で火属性ダメージを無効化し吸収する"
"Pawprint","","","","格挡性能+75%
受到魔法伤害-10%","ブロッキング性能 +75%
受ける魔法ダメージ -10%"
"Pawprint","","","","次数 (1–999)","回 (1 ～ 999)"
"Pawprint","","","","正在记录斗兽流程","獣と戦う過程を記録する"
"Pawprint","","","","正在记录斗兽流程 · 0 个界面 · 第 1 卷","獣と戦う過程を記録・0インターフェース・第1巻"
"Pawprint","","","","死亡后自动重开","死亡後に自動的に再起動する"
"Pawprint","","","","水晶塔 古代人迷宫","クリスタルタワー古代人の迷宮"
"Pawprint","","","","流沙迷宫樵鸣洞","流砂迷路喬明洞"
"Pawprint","","","","海德拉讨伐战","ヒドラ十字軍"
"Pawprint","","","","游戏名称","ゲーム名"
"Pawprint","","","","物品",""
"Pawprint","","","","特殊效果：30%几率使土属性伤害无效并吸收
特殊效果：盾格挡时有10%的几率为自身附加“石肤”状态
石肤效果：抵消相当于最大体力15%的伤害量
石肤持续时间：60秒","特殊効果：30%の確率で土ダメージを無効化し吸収
特殊効果：シールドで防御した際、10%の確率で自身に「ストーンスキン」状態を付与する。
ストーンスキン効果：最大体力の15%相当のダメージを相殺
ストーンスキン持続時間: 60秒"
"Pawprint","","","","特殊效果：30%几率使雷属性伤害无效并吸收
特殊效果：暴击时有5%的几率为自身附加1档“激昂”状态
激昂效果：造成伤害+10%、受到伤害-5%
激昂持续时间：180秒
最大档数：4档","特殊効果：30%の確率で雷属性ダメージを無効化し吸収
特殊効果：クリティカルヒット時、5%の確率で自身の「興奮」状態を1段階追加する。
エキサイティング効果：与ダメージ+10%、被ダメージ-5%
情熱の持続時間: 180秒
最大ギア数: 4 ギア"
"Pawprint","","","","特殊效果：30%几率使风属性伤害无效并吸收
特殊效果：盾格挡时有50%的几率为自身附加1档“闪躲”状态
闪躲效果：除特定攻击之外其他所有物理攻击均无效化，无效化时消耗1档闪躲
闪躲持续时间：120秒","特殊効果：30%の確率で風ダメージを無効化し吸収する
特殊効果：盾で防御した時、50%の確率で自身に『回避』状態を1段階付与する。
回避効果：特定の攻撃を除く全ての物理攻撃を無効化する。無効化すると回避力が1レベル消費されます。
回避時間: 120秒"
"Pawprint","","","","特殊效果：受到伤害时有20%的几率为自身附加1档“闪躲”状态
闪躲效果：除特定攻击之外其他所有物理攻击均无效化，无效化时消耗1档闪躲
闪躲持续时间：120秒","特殊効果：ダメージを受けた時、20％の確率で自身に『回避』状態を1段階付与する。
回避効果：特定の攻撃を除く全ての物理攻撃を無効化する。無効化すると回避力が1レベル消費されます。
回避時間: 120秒"
"Pawprint","","","","特殊效果：受到物理伤害时反击，对对方造成打击属性物理伤害，反击伤害受到其他食料或奇弈道具的物理伤害提高、魔兽力量的影响
反击伤害威力：350
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 甲鳞纲 死尸纲","特殊効果：物理ダメージを受けると反撃し、相手に打撃物理ダメージを与える。反撃のダメージは、他の食べ物やファンタジーの小道具による物理ダメージの増加、およびウォークラフトの力の影響を受けます。
反撃ダメージ力：350
以下のモンスターに適しています。
百科事典、百科事典、翼動物、爪真菌症、壊死動物"
"Pawprint","","","","特殊效果：受到物理伤害时反击，对对方造成无属性魔法伤害，反击伤害受到其他斗兽装备、道具或能力类技能的魔法伤害提高的影响
反击伤害威力：360","特殊効果：物理ダメージを受けた際に反撃し、相手に無属性魔法ダメージを与える。反撃ダメージは他の闘獣装備、小道具、アビリティスキルの魔法ダメージ増加の影響を受ける。
反撃ダメージ力：360"
"Pawprint","","","","特殊效果：受到魔法伤害时反击，对对方造成无属性魔法伤害，反击伤害受到其他食料或奇弈道具的魔法伤害提高、魔兽智力的影响
反击伤害威力：350
适于以下魔兽食用：
草木纲 水栖纲","特殊効果：魔法ダメージを受けた時に反撃し、相手に無属性魔法ダメージを与える。反撃ダメージは、他の食べ物やファンタジーの小道具による魔法ダメージの増加、およびモンスターの知力の影響を受けます。
反撃ダメージ力：350
以下のモンスターに適しています。
植物クラス 水生クラス"
"Pawprint","","","","特殊效果：在帐篷休息时随机获得1个魔兽恢复药","特殊効果: テントで休んでいるとランダムにウォークラフト回復ポーションを1つ入手します。"
"Pawprint","","","","特殊效果：在战斗中被驯兽师召唤时，或者开始战斗时，魔兽的技力增加100点
适于以下魔兽食用：
有翼纲","特殊効果：バトル中にトレーナーが召喚した時、またはバトル開始時にモンスターのスキルが100ポイントアップする。
以下のモンスターに適しています。
翼のあるクラス"
"Pawprint","","","","特殊效果：对敌人造成致命一击时，为自身附加1档“激昂”状态
激昂效果：造成伤害+15%、受到伤害-8%
激昂持续时间：60秒
最大档数：4档
适于以下魔兽食用：
百兽纲 百虫纲 有翼纲 草木纲 水栖纲 甲鳞纲 咒具纲 死尸纲","特殊効果：敵に致命傷を与えた時、自身に『興奮』状態を1付与する。
エキサイティング効果：与ダメージ+15%、被ダメージ-8%
情熱の持続時間: 60秒
最大ギア数: 4 ギア
以下のモンスターに適しています。
クラスエンサイクロペディア、クラスセンテノーラ、クラス翼虫類、クラス草本科、クラスアクアティカ、クラスオ爪虫、クラスカース、クラスネクロゾア"
"Pawprint","","","","特殊效果：战斗结束时恢复玩家25%的体力","特殊効果：戦闘終了時プレイヤーの体力を25％回復"
"Pawprint","","","","特殊效果：盾格挡时为自身附加1档“受到魔法伤害减轻”状态
受到魔法伤害减轻效果：受到的魔法伤害减轻5%
受到魔法伤害减轻持续时间：60秒
最大档数：8档","特殊効果：盾で防御した時、自身に「魔法ダメージ軽減」状態を1段階追加する。
魔法ダメージ軽減効果：受ける魔法ダメージ5％軽減
魔法ダメージ軽減時間：60秒
最大ギア数: 8 ギア"
